molecule_id,canonical_smiles,"Serotonin (5-HT) receptor","Serotonin 1 (5-HT1) receptor","Serotonin 1 receptors; 5-HT1B & 5-HT1D","Serotonin 1a (5-HT1a) receptor","Serotonin 1b (5-HT1b) receptor","Serotonin 1d (5-HT1d) receptor","Serotonin 1e (5-HT1e) receptor","Serotonin 1f (5-HT1f) receptor","Serotonin 2 (5-HT2) receptor","Serotonin 2 receptors; 5-HT2a & 5-HT2c","Serotonin 2a (5-HT2a) receptor","Serotonin 2b (5-HT2b) receptor","Serotonin 2c (5-HT2c) receptor","Serotonin 3 (5-HT3) receptor","Serotonin 3a (5-HT3a) receptor","Serotonin 3b (5-HT3b) receptor","Serotonin 4 (5-HT4) receptor","Serotonin 5a (5-HT5a) receptor","Serotonin 5b (5-HT5b) receptor","Serotonin 6 (5-HT6) receptor","Serotonin 7 (5-HT7) receptor"
1838,CCCn1cc(CCN(C)C)c2cc(OC)ccc21,,,,,,,,,,,,,,,,,,,,6.7,
1846,CCn1cc(CCN(C)C)c2cc(OC)ccc21,,,,,,,,,,,,,,,,,,,,6.62,
1847,COc1ccc2c(c1)c(CCN(C)C)cn2C,,,,,,,,,,,,,,,,,,,,6.29,5.93
1925,COc1ccc2[nH]c(C)c(CCN(C)C)c2c1,,,,6.7,,6.6,5.75,,,,,,5.4,,,,,4.98,,7.1475,6.23
1985,COc1ccc2[nH]c(-c3ccccc3)c(CCN(C)C)c2c1,,,,5.83,,5.21,,,,,6.33,,6.17,,,,,5.29,,7.58142857142857,6.81
1986,CCc1[nH]c2ccc(OC)cc2c1CCN(C)C,,,,6.77,,6.195,6.28,,,,6.21,,5.5,,,,7.36,5.33,,7.635,6.17
2010,Cc1[nH]c2ccc(O)cc2c1CCN,,,,5.76,6.28,5.91,,,,,,,6.19,6.222,5.92,,,,,7.02666666666667,5.9
2023,COc1ccc2[nH]c(C)c(CCN)c2c1,,,,5.89,6.1,5.97,,,,,,,6.16,,,,,,,7.055,
2024,Cc1[nH]c2ccccc2c1CCN(C)C,,,,,,,,,,,,,,,,,,,,6.52,
2045,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,,,,,,,,,,,,5.16,,,,,,,,,
2046,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,,,,4.31,,,,,,,,,,,,,,,,,
2080,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,,,,4.75,,,,,,,5.15,4.69,,,,,,,,,
2203,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,,,,8.37333333333333,9.09,8.586,,,,,8.112,8.56,6.73666666666667,,,,6.19,7.704,,8.855,
2207,COc1ccc2[nH]cc(CCN)c2c1,,8.7,,8.29833333333333,7.57,8.33,,,6.85,,8.04666666666667,,6.825,,,,7.09,,,7.06,8.67666666666667
2208,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,,,,,,,,,,,,6.545,,,,,,,,,
2214,NCCc1c[nH]c2ccc(O)cc12,,8.21,,8.12602150537634,8.23181818181818,8.395,8.11,8.1,6.42666666666667,,7.65287671232877,8.59566666666667,8.37203703703704,6.729,5.20310344827586,,7.28272727272727,6.80333333333333,,7.09217391304348,8.53658536585366
2223,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,,7.82,,,,,,,,,6.524,5.17,6.984,,,,,,,5.90333333333333,
2231,CCCc1[nH]c2ccc(OC)cc2c1CCN(C)C,,,,,,,,,,,,,,,,,,,,6.73,
2232,COc1ccc2[nH]cc(CCN(C)C)c2c1,7.09,7.19,,7.723,6.59,7.44,,,6.64,,7.62909090909091,7.46,6.95142857142857,,,,,,,7.552,7.46
2236,COc1ccc2[nH]c3c(c2c1)C(CN(C)C)CCC3,,,,,,,,,,,,,,,,,,,,6.78,
2237,COc1ccc2c(c1)c(CCN(C)C)c1n2CCCC1,,,,,,,,,,,,,,,,,,,,5.99,
2246,Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,,,,5.145,,,,,6.7,,6.52,,,,,,,,,5.78,6.64
2261,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,,6.05,,6.62846153846154,5.825,,6.0,,7.87478260869565,,8.03768292682927,7.72555555555556,7.85131578947369,6.84,6.556,,,6.0,,8.02761904761905,7.62151515151515
2262,CNCCC=C1c2ccccc2CCc2ccccc21,6.77,,,5.6,5.67,,,,,,7.29,6.96,7.63,,,,,,,6.5275,
2355,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,,,,5.65,,,,,,,5.85,,,,,,,,,,
2361,Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1,,,,5.85,,,,,,,6.42,,,,,,,,,,
2379,CN1CCN(C2=Nc3ccccc3Nc3ccc(Cl)cc32)CC1,,,,,,,,,8.745,,7.99666666666667,,8.34666666666667,7.66,,,,,,,
2488,CN1CCN(C2=Nc3cc(Cl)ccc3N(C)c3ccccc32)CC1,,,,,,,,,,,6.85,,7.13,7.4,,,,,,,
2489,CN1CCC(C2=Cc3cc(Cl)ccc3Cc3ccccc32)CC1,,,,,,,,,,,8.52,,8.52,7.39,,,,,,,
2580,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,,,,,,,,,,,,,,,5.1,,,,,,
2658,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,,,,,,,,,,,5.25,,4.97,,,,,,,,
2724,CCCN1CCC[C@@H](c2cccc(O)c2)C1,,,,5.1,,,,,,,,,,,,,,,,,
2742,CN1CCN(C2=Cc3cc(Cl)ccc3Cc3ccccc32)CC1,,,,,,,,,,,8.52,,8.15,6.92,,,,,,,
2779,CN1CCN(C2=Nc3cc(Cl)ccc3Oc3ccccc32)CC1,,,,,,,,,,,7.96,,7.72,7.41,,,,,,,
2812,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,,,,,,,,,,,,,,,,,,,,6.225,
2834,CN1CCN(C2=Cc3ccccc3Cc3ccc(Cl)cc32)CC1,,,,,,,,,,,8.7,,8.22,7.31,,,,,,,
2994,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,,,,,,,,,,,,5.36,,,,,,,,,
3012,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,,,,5.02,,,,,,,,4.77,,,,,,,,,
3140,COc1ccc2c(c1)c(C1=NCC3(CN4CCC3CC4)O1)cn2C,,,,,,,,,,,,,,6.58,,,,,,,
3141,Cn1cc(C2=NCC3(CN4CCC3CC4)O2)c2cc(N)ccc21,,,,,,,,,,,,,,6.24,,,,,,,
3176,Cn1cc(C2=NCC3(CN4CCC3CC4)O2)c2cc([N+](=O)[O-])ccc21,,,,,,,,,,,,,,6.64,,,,,,,
3177,Cc1ccc2c(c1)c(C1=NCC3(CN4CCC3CC4)O1)cn2C,,,,,,,,,,,,,,6.88,,,,,,,
3183,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,,,,,5.43,4.7,,,5.0,,,7.02666666666667,5.3,8.41628571428571,8.248,,5.92,,,,
3184,CN1CCC2(CC1)CN=C(c1cn(C)c3ccccc13)O2,,,,,,,,,,,,,,6.8,,,,,,,
3217,Cn1cc(C2=NCC3(CN4CCC3CC4)O2)c2cc(O)ccc21,,,,,,,,,,,,,,6.71,,,,,,,
3227,Cn1cc(C2=NCC3(CN4CCC3CC4)O2)c2cc(F)ccc21,,,,,,,,,,,,,,7.83,,,,,,,
3232,COc1cccc(C2=NCC3(CN4CCC3CC4)O2)c1,,,,,,,,,,,,,,6.39,,,,,,,
3244,c1ccc2c(C3=NCC4(CN5CCC4CC5)O3)csc2c1,,,,,,,,,,,,,,7.57,,,,,,,
3258,Cn1c(I)c(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21,,,,,,,,,,,,,,7.57,,,,,,,
3262,c1ccc2c(C3=NCC4(CN5CCC4CC5)O3)[nH]nc2c1,,,,,,,,,,,,,,7.58,,,,,,,
3265,CC(=O)c1c(C2=NCC3(CN4CCC3CC4)O2)c2ccccc2n1C,,,,,,,,,,,,,,8.19,,,,,,,
3270,Cc1cccc2c(C3=NCC4(CN5CCC4CC5)O3)cn(C)c12,,,,,,,,,,,,,,8.05,,,,,,,
3301,c1ccc2c(c1)c(C1=NCC3(CN4CCC3CC4)O1)cn2CC1CC1,,,,,,,,,,,,,,7.88,,,,,,,
3330,Cn1c([Si](C)(C)C)c(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21,,,,,,,,,,,,,,6.81,,,,,,,
3331,Cn1cc(C2=NC[C@]3(CN4CC[C@@H]3C4)O2)c2ccccc21,,,,,,,,,,,,,,8.51,,,,,,,
3365,Cn1cc(C2=NCC3(C[N+]4([O-])CCC3CC4)O2)c2ccccc21,,,,,,,,,,,,,,5.58,,,,,,,
3485,COc1cc(OC)c(OC)cc1CC(C)N,6.81,4.33,,,,,,,5.86,,6.418,6.81,5.57,,,,,,,,
3486,COc1cc([N+](=O)[O-])c(OC)cc1CC(C)N,7.07,4.85,,,,,,,6.52,,,,,,,,,,,,
3487,CN1C2CCC1CC1(CN=C(c3cn(C)c4ccccc34)O1)C2,,,,,,,,,,,,,,8.27,,,,,,,
3494,COc1cc(CC(C)N)c(OC)cc1Cl,,,,,,,,,6.66,,,,,,,,,,,,
3512,Cn1cc(C2=NCC3(CC4CCC(C3)[N+]4(C)C)O2)c2ccccc21.[I-],,,,,,,,,,,,,,8.39,,,,,,,
3534,CCCCCCc1cc(OC)c(CC(C)N)cc1OC,,,,,,,,,,,8.6,,,,,,,,,,
